ID,NAME,VALUE,YEAR,MONTH,DAY,TIME
1,PPL340,25.1,2010,1,4,3:00
2,PPL341,25.3,2011,1,4,4:00
3,PPL342,25,2012,1,4,5:00
4,PPL343,23.7,2013,1,4,6:00
5,PPL344,23.5,2014,1,4,7:00
6,PPL345,23.5,2015,1,4,8:00
7,PPL346,23.3,2016,1,4,9:00
8,PPL347,24.1,2017,1,4,10:00
9,PPL348,26,2018,1,4,11:00
10,PPL349,25.9,2019,1,4,12:00
11,PPL350,26.2,2020,1,4,13:00
12,PPL351,24.5,2021,1,4,14:00
13,PPL352,23.7,2022,1,4,15:00
14,PPL353,22.6,2001,1,4,16:00
15,PPL354,23,2002,1,4,17:00
16,PPL355,23.6,2003,1,4,18:00
17,PPL356,24.5,2004,1,4,19:00
18,PPL357,23.9,2005,1,4,20:00
19,PPL358,24,2006,1,4,21:00
20,PPL359,24,2007,1,4,22:00
21,PPL360,23.7,2008,1,4,23:00
22,PPL361,23.1,2009,1,5,0:00
23,PPL362,23,2010,1,5,1:00
24,PPL363,22.9,2011,1,5,2:00
25,PPL364,23.2,2012,1,5,3:00
1,PPL340,23.2,2013,1,5,4:00
2,PPL341,23.5,2014,1,5,5:00
3,PPL342,23.2,2015,1,5,6:00
4,PPL343,23.1,2016,1,5,7:00
5,PPL344,23,2017,1,5,8:00
6,PPL345,23.6,2018,1,5,9:00
7,PPL346,25,2019,1,5,10:00
8,PPL347,25.7,2020,1,5,11:00
9,PPL348,26.5,2021,1,5,12:00
10,PPL349,27.7,2022,1,5,13:00
11,PPL350,26.5,2001,1,5,14:00
12,PPL351,26.7,2002,1,5,15:00
13,PPL352,30.2,2003,1,5,16:00
14,PPL353,30.6,2004,1,5,17:00
15,PPL354,30.8,2005,1,5,18:00
16,PPL355,30.6,2006,1,5,19:00
17,PPL356,30.3,2007,1,5,20:00
18,PPL357,29.8,2008,1,5,21:00
19,PPL358,28.9,2009,1,5,22:00
20,PPL359,27.6,2010,1,5,23:00
21,PPL360,26.4,2011,1,6,0:00
22,PPL361,25.5,2012,1,6,1:00
23,PPL362,24.9,2013,1,6,2:00
24,PPL363,24.6,2014,1,6,3:00
25,PPL364,24.3,2015,1,6,4:00
1,PPL340,24,2016,1,6,5:00
2,PPL341,23.9,2017,1,6,6:00
3,PPL342,23.9,2018,1,6,7:00
4,PPL343,23.5,2019,1,6,8:00
5,PPL344,23.6,2020,1,6,9:00
6,PPL345,25,2021,1,6,10:00
7,PPL346,25.9,2022,1,6,11:00
8,PPL347,26.1,2001,1,6,12:00
9,PPL348,26.5,2002,1,6,13:00
10,PPL349,27.9,2003,1,6,14:00
11,PPL350,28.2,2004,1,6,15:00
12,PPL351,28.4,2005,1,6,16:00
13,PPL352,26.8,2006,1,6,17:00
14,PPL353,29.4,2007,1,6,18:00
15,PPL354,27.8,2008,1,6,19:00
16,PPL355,26.8,2009,1,6,20:00
17,PPL356,27.1,2010,1,6,21:00
18,PPL357,26.2,2011,1,6,22:00
19,PPL358,23.5,2012,1,6,23:00
20,PPL359,22.3,2013,1,7,0:00
21,PPL360,21.2,2014,1,7,1:00
22,PPL361,20.3,2015,1,7,2:00
23,PPL362,20.9,2016,1,7,3:00
24,PPL363,21.2,2017,1,7,4:00
25,PPL364,21.2,2018,1,7,5:00
1,PPL340,21.1,2019,1,7,6:00
2,PPL341,20.9,2020,1,7,7:00
3,PPL342,20.9,2021,1,7,8:00
4,PPL343,20.9,2022,1,7,9:00
5,PPL344,21,2001,1,7,10:00
6,PPL345,21.3,2002,1,7,11:00
7,PPL346,21.6,2003,1,7,12:00
8,PPL347,22.4,2004,1,7,13:00
9,PPL348,23.1,2005,1,7,14:00
10,PPL349,23.3,2006,1,7,15:00
11,PPL350,23.6,2007,1,7,16:00
12,PPL351,23.8,2008,1,7,17:00
13,PPL352,23.1,2009,1,7,18:00
14,PPL353,22.8,2010,1,7,19:00
15,PPL354,22.5,2011,1,7,20:00
16,PPL355,22.1,2012,1,7,21:00
17,PPL356,21.6,2013,1,7,22:00
18,PPL357,21.3,2014,1,7,23:00
19,PPL358,21,2015,1,8,0:00
20,PPL359,21,2016,1,8,1:00
21,PPL360,20.1,2017,1,8,2:00
22,PPL361,19.5,2018,1,8,3:00
23,PPL362,19.4,2019,1,8,4:00
24,PPL363,19.5,2020,1,8,5:00
25,PPL364,19.8,2021,1,8,6:00
1,PPL340,19.5,2022,1,8,7:00
2,PPL341,19.8,2001,1,8,8:00
3,PPL342,19.3,2002,1,8,9:00
4,PPL343,21.1,2003,1,8,10:00
5,PPL344,22.2,2004,1,8,11:00
6,PPL345,23.7,2005,1,8,12:00
7,PPL346,25.2,2006,1,8,13:00
8,PPL347,26.2,2007,1,8,14:00
9,PPL348,28.2,2008,1,8,15:00
10,PPL349,28.6,2009,1,8,16:00
11,PPL350,29.2,2010,1,8,17:00
12,PPL351,29.6,2011,1,8,18:00
13,PPL352,29.2,2012,1,8,19:00
14,PPL353,27.8,2013,1,8,20:00
15,PPL354,26.7,2014,1,8,21:00
16,PPL355,25.1,2015,1,8,22:00
17,PPL356,24.1,2016,1,8,23:00
18,PPL357,23.8,2017,1,9,0:00
19,PPL358,23.7,2018,1,9,1:00
20,PPL359,23.6,2019,1,9,2:00
21,PPL360,23.5,2020,1,9,3:00
22,PPL361,23.6,2021,1,9,4:00
23,PPL362,23.2,2022,1,9,5:00
24,PPL363,23.4,2001,1,9,6:00
25,PPL364,23.4,2002,1,9,7:00
1,PPL340,23.3,2003,1,9,8:00
2,PPL341,23.1,2004,1,9,9:00
3,PPL342,23,2005,1,9,10:00
4,PPL343,23.4,2006,1,9,11:00
5,PPL344,24.7,2007,1,9,12:00
6,PPL345,26.5,2008,1,9,13:00
7,PPL346,26.6,2009,1,9,14:00
8,PPL347,27.1,2010,1,9,15:00
9,PPL348,29.9,2011,1,9,16:00
10,PPL349,29.8,2012,1,9,17:00
11,PPL350,30,2013,1,9,18:00
12,PPL351,29.7,2014,1,9,19:00
13,PPL352,28.4,2015,1,9,20:00
14,PPL353,27.9,2016,1,9,21:00
15,PPL354,27,2017,1,9,22:00
16,PPL355,26.5,2018,1,9,23:00
17,PPL356,25.8,2019,1,10,0:00
18,PPL357,25.4,2020,1,10,1:00
19,PPL358,25.1,2021,1,10,2:00
20,PPL359,24.5,2022,1,10,3:00
21,PPL360,24.4,2001,1,10,4:00
22,PPL361,24.1,2002,1,10,5:00
23,PPL362,23.6,2003,1,10,6:00
24,PPL363,23.5,2004,1,10,7:00
25,PPL364,23.2,2005,1,10,8:00
1,PPL340,23.4,2006,1,10,9:00
2,PPL341,23.8,2007,1,10,10:00
3,PPL342,24.9,2008,1,10,11:00
4,PPL343,27.3,2009,1,10,12:00
5,PPL344,27.8,2010,1,10,13:00
6,PPL345,29.4,2011,1,10,14:00
7,PPL346,30.1,2012,1,10,15:00
8,PPL347,30.8,2013,1,10,16:00
9,PPL348,29.9,2014,1,10,17:00
10,PPL349,28.9,2015,1,10,18:00
11,PPL350,29.3,2016,1,10,19:00
12,PPL351,29,2017,1,10,20:00
13,PPL352,28.3,2018,1,10,21:00
14,PPL353,25.1,2019,1,10,22:00
15,PPL354,23.1,2020,1,10,23:00
16,PPL355,23.5,2021,1,11,0:00
17,PPL356,24.1,2022,1,11,1:00
18,PPL357,23.9,2001,1,11,2:00
19,PPL358,23.9,2002,1,11,3:00
20,PPL359,23.6,2003,1,11,4:00
21,PPL360,23.7,2004,1,11,5:00
22,PPL361,23.7,2005,1,11,6:00
23,PPL362,24,2006,1,11,7:00
24,PPL363,23.9,2007,1,11,8:00
25,PPL364,23.8,2008,1,11,9:00
1,PPL340,24.1,2009,1,11,10:00
2,PPL341,23.6,2010,1,11,11:00
3,PPL342,25.4,2011,1,11,12:00
4,PPL343,27.5,2012,1,11,13:00
5,PPL344,28,2013,1,11,14:00
6,PPL345,29.5,2014,1,11,15:00
7,PPL346,30,2015,1,11,16:00
8,PPL347,30.6,2016,1,11,17:00
9,PPL348,29.4,2017,1,11,18:00
10,PPL349,29.7,2018,1,11,19:00
11,PPL350,28.7,2019,1,11,20:00
12,PPL351,27.5,2020,1,11,21:00
13,PPL352,26.5,2021,1,11,22:00
14,PPL353,25.4,2022,1,11,23:00
15,PPL354,24.5,2001,1,12,0:00
16,PPL355,24.1,2002,1,12,1:00
17,PPL356,23.8,2003,1,12,2:00
18,PPL357,23.6,2004,1,12,3:00
19,PPL358,23.7,2005,1,12,4:00
20,PPL359,23.6,2006,1,12,5:00
21,PPL360,23.5,2007,1,12,6:00
22,PPL361,23.1,2008,1,12,7:00
23,PPL362,22.9,2009,1,12,8:00
24,PPL363,23.3,2010,1,12,9:00
25,PPL364,25.9,2011,1,12,10:00
1,PPL340,27.8,2012,1,12,11:00
2,PPL341,29.2,2013,1,12,12:00
3,PPL342,29.8,2014,1,12,13:00
4,PPL343,30.6,2015,1,12,14:00
5,PPL344,30.5,2016,1,12,15:00
6,PPL345,31.6,2017,1,12,16:00
7,PPL346,30.2,2018,1,12,17:00
8,PPL347,31.6,2019,1,12,18:00
9,PPL348,31.2,2020,1,12,19:00
10,PPL349,24.7,2021,1,12,20:00
11,PPL350,25.5,2022,1,12,21:00
12,PPL351,25.5,2001,1,12,22:00
13,PPL352,24.8,2002,1,12,23:00
14,PPL353,24.7,2003,1,13,0:00
15,PPL354,24.1,2004,1,13,1:00
16,PPL355,23.8,2005,1,13,2:00
17,PPL356,24.1,2006,1,13,3:00
18,PPL357,23.4,2007,1,13,4:00
19,PPL358,23.4,2008,1,13,5:00
20,PPL359,23,2009,1,13,6:00
21,PPL360,22.9,2010,1,13,7:00
22,PPL361,22.6,2011,1,13,8:00
23,PPL362,22.4,2012,1,13,9:00
24,PPL363,22.1,2013,1,13,10:00
25,PPL364,22.1,2014,1,13,11:00
1,PPL340,23.1,2015,1,13,12:00
2,PPL341,22.9,2016,1,13,13:00
3,PPL342,22.8,2017,1,13,14:00
4,PPL343,23.6,2018,1,13,15:00
5,PPL344,23.2,2019,1,13,16:00
6,PPL345,23.8,2020,1,13,17:00
7,PPL346,24.1,2021,1,13,18:00
8,PPL347,24.2,2022,1,13,19:00
9,PPL348,-9999,2001,1,13,20:00
10,PPL349,-9999,2002,1,13,21:00
11,PPL350,23.1,2003,1,13,22:00
12,PPL351,21.7,2004,1,13,23:00
13,PPL352,20.8,2005,1,14,0:00
14,PPL353,20.4,2006,1,14,1:00
15,PPL354,19.7,2007,1,14,2:00
16,PPL355,19.4,2008,1,14,3:00
17,PPL356,19,2009,1,14,4:00
18,PPL357,18.3,2010,1,14,5:00
19,PPL358,18,2011,1,14,6:00
20,PPL359,17.8,2012,1,14,7:00
21,PPL360,17.9,2013,1,14,8:00
22,PPL361,18,2014,1,14,9:00
23,PPL362,20.5,2015,1,14,10:00
24,PPL363,23.1,2016,1,14,11:00
25,PPL364,23.1,2017,1,14,12:00
1,PPL340,24.7,2018,1,14,13:00
2,PPL341,26.3,2019,1,14,14:00
3,PPL342,27.6,2020,1,14,15:00
4,PPL343,27.2,2021,1,14,16:00
5,PPL344,29.7,2022,1,14,17:00
6,PPL345,28.4,2001,1,14,18:00
7,PPL346,27,2002,1,14,19:00
8,PPL347,26.4,2003,1,14,20:00
9,PPL348,25.2,2004,1,14,21:00
10,PPL349,24.6,2005,1,14,22:00
11,PPL350,23.5,2006,1,14,23:00
12,PPL351,22.8,2007,1,15,0:00
13,PPL352,22.1,2008,1,15,1:00
14,PPL353,21.6,2009,1,15,2:00
15,PPL354,21.3,2010,1,15,3:00
16,PPL355,21,2011,1,15,4:00
17,PPL356,19.9,2012,1,15,5:00
18,PPL357,19.3,2013,1,15,6:00
19,PPL358,19.3,2014,1,15,7:00
20,PPL359,19,2015,1,15,8:00
21,PPL360,18.8,2016,1,15,9:00
22,PPL361,22,2017,1,15,10:00
23,PPL362,24.6,2018,1,15,11:00
24,PPL363,24.7,2019,1,15,12:00
25,PPL364,26.7,2020,1,15,13:00
1,PPL340,26.9,2021,1,15,14:00
2,PPL341,27.7,2022,1,15,15:00
3,PPL342,28.7,2001,1,15,16:00
4,PPL343,28.5,2002,1,15,17:00
5,PPL344,28.4,2003,1,15,18:00
6,PPL345,28.3,2004,1,15,19:00
7,PPL346,27.2,2005,1,15,20:00
8,PPL347,25.6,2006,1,15,21:00
9,PPL348,24.2,2007,1,15,22:00
10,PPL349,23.1,2008,1,15,23:00
11,PPL350,22.5,2009,1,16,0:00
12,PPL351,22.1,2010,1,16,1:00
13,PPL352,22,2011,1,16,2:00
14,PPL353,21.8,2012,1,16,3:00
15,PPL354,21.7,2013,1,16,4:00
16,PPL355,21.7,2014,1,16,5:00
17,PPL356,21.4,2015,1,16,6:00
18,PPL357,20.8,2016,1,16,7:00
19,PPL358,21,2017,1,16,8:00
20,PPL359,21,2018,1,16,9:00
21,PPL360,23.2,2019,1,16,10:00
22,PPL361,24.4,2020,1,16,11:00
23,PPL362,26.6,2021,1,16,12:00
24,PPL363,26.7,2022,1,16,13:00
25,PPL364,27.5,2001,1,16,14:00
1,PPL340,28.8,2002,1,16,15:00
2,PPL341,29.7,2003,1,16,16:00
3,PPL342,29.2,2004,1,16,17:00
4,PPL343,29.4,2005,1,16,18:00
5,PPL344,27.1,2006,1,16,19:00
6,PPL345,23.5,2007,1,16,20:00
7,PPL346,22.4,2008,1,16,21:00
8,PPL347,22,2009,1,16,22:00
9,PPL348,21.9,2010,1,16,23:00
10,PPL349,22,2011,1,17,0:00
11,PPL350,22.2,2012,1,17,1:00
12,PPL351,22.5,2013,1,17,2:00
13,PPL352,22.1,2014,1,17,3:00
14,PPL353,22,2015,1,17,4:00
15,PPL354,21.7,2016,1,17,5:00
16,PPL355,21.3,2017,1,17,6:00
17,PPL356,21.1,2018,1,17,7:00
18,PPL357,21.2,2019,1,17,8:00
19,PPL358,21.5,2020,1,17,9:00
20,PPL359,23.5,2021,1,17,10:00
21,PPL360,23.8,2022,1,17,11:00
22,PPL361,26.1,2001,1,17,12:00
23,PPL362,26,2002,1,17,13:00
24,PPL363,27,2003,1,17,14:00
25,PPL364,27.2,2004,1,17,15:00
1,PPL340,28.1,2005,1,17,16:00
2,PPL341,29.3,2006,1,17,17:00
3,PPL342,30.3,2007,1,17,18:00
4,PPL343,30.8,2008,1,17,19:00
5,PPL344,30.2,2009,1,17,20:00
6,PPL345,27.6,2010,1,17,21:00
7,PPL346,26.7,2011,1,17,22:00
8,PPL347,25.9,2012,1,17,23:00
9,PPL348,25.5,2013,1,18,0:00
10,PPL349,25.3,2014,1,18,1:00
11,PPL350,24.7,2015,1,18,2:00
12,PPL351,24.1,2016,1,18,3:00
13,PPL352,25.1,2017,1,18,4:00
14,PPL353,23.7,2018,1,18,5:00
15,PPL354,23.3,2019,1,18,6:00
16,PPL355,22.5,2020,1,18,7:00
17,PPL356,22.4,2021,1,18,8:00
18,PPL357,22.1,2022,1,18,9:00
19,PPL358,25.4,2001,1,18,10:00
20,PPL359,26.5,2002,1,18,11:00
21,PPL360,28.4,2003,1,18,12:00
22,PPL361,30.3,2004,1,18,13:00
23,PPL362,31.3,2005,1,18,14:00
24,PPL363,31.8,2006,1,18,15:00
25,PPL364,31.7,2007,1,18,16:00
1,PPL340,33.3,2008,1,18,17:00
2,PPL341,32.5,2009,1,18,18:00
3,PPL342,31.8,2010,1,18,19:00
4,PPL343,30.1,2011,1,18,20:00
5,PPL344,28.5,2012,1,18,21:00
6,PPL345,27.3,2013,1,18,22:00
7,PPL346,26.1,2014,1,18,23:00
8,PPL347,25.7,2015,1,19,0:00
9,PPL348,25.5,2016,1,19,1:00
10,PPL349,25.1,2017,1,19,2:00
11,PPL350,24.9,2018,1,19,3:00
12,PPL351,25.5,2019,1,19,4:00
13,PPL352,25,2020,1,19,5:00
14,PPL353,25,2021,1,19,6:00
15,PPL354,24.9,2022,1,19,7:00
16,PPL355,25,2001,1,19,8:00
17,PPL356,24.9,2002,1,19,9:00
18,PPL357,25,2003,1,19,10:00
19,PPL358,23.7,2004,1,19,11:00
20,PPL359,23.7,2005,1,19,12:00
21,PPL360,22.7,2006,1,19,13:00
22,PPL361,22.3,2007,1,19,14:00
23,PPL362,22.4,2008,1,19,15:00
24,PPL363,22.9,2009,1,19,16:00
25,PPL364,22.9,2010,1,19,17:00
1,PPL340,23.2,2011,1,19,18:00
2,PPL341,22.8,2012,1,19,19:00
3,PPL342,24.1,2013,1,19,20:00
4,PPL343,24.3,2014,1,19,21:00
5,PPL344,24.6,2015,1,19,22:00
6,PPL345,24,2016,1,19,23:00
7,PPL346,23.7,2017,1,20,0:00
8,PPL347,23.6,2018,1,20,1:00
9,PPL348,23.7,2019,1,20,2:00
10,PPL349,23.9,2020,1,20,3:00
11,PPL350,23.4,2021,1,20,4:00
12,PPL351,22.9,2022,1,20,5:00
13,PPL352,23,2001,1,20,6:00
14,PPL353,23.2,2002,1,20,7:00
15,PPL354,23.4,2003,1,20,8:00
16,PPL355,23.3,2004,1,20,9:00
17,PPL356,23.3,2005,1,20,10:00
18,PPL357,23.8,2006,1,20,11:00
19,PPL358,24.2,2007,1,20,12:00
20,PPL359,23.8,2008,1,20,13:00
21,PPL360,24.3,2009,1,20,14:00
22,PPL361,24.7,2010,1,20,15:00
23,PPL362,25.5,2011,1,20,16:00
24,PPL363,27,2012,1,20,17:00
25,PPL364,26.8,2013,1,20,18:00
1,PPL340,25.2,2014,1,20,19:00
2,PPL341,25.5,2015,1,20,20:00
3,PPL342,24.8,2016,1,20,21:00
4,PPL343,23.2,2017,1,20,22:00
5,PPL344,22.4,2018,1,20,23:00
6,PPL345,20.9,2019,1,21,0:00
7,PPL346,21,2020,1,21,1:00
8,PPL347,19.5,2021,1,21,2:00
9,PPL348,19.1,2022,1,21,3:00
10,PPL349,18.4,2001,1,21,4:00
11,PPL350,18.1,2002,1,21,5:00
12,PPL351,18.4,2003,1,21,6:00
13,PPL352,18.7,2004,1,21,7:00
14,PPL353,18.5,2005,1,21,8:00
15,PPL354,19,2006,1,21,9:00
16,PPL355,20.1,2007,1,21,10:00
17,PPL356,21.7,2008,1,21,11:00
18,PPL357,22.8,2009,1,21,12:00
19,PPL358,23.5,2010,1,21,13:00
20,PPL359,21.5,2011,1,21,14:00
21,PPL360,24,2012,1,21,15:00
22,PPL361,26.1,2013,1,21,16:00
23,PPL362,27.1,2014,1,21,17:00
24,PPL363,27.5,2015,1,21,18:00
25,PPL364,25.6,2016,1,21,19:00
1,PPL340,25.7,2017,1,21,20:00
2,PPL341,25.3,2018,1,21,21:00
3,PPL342,23.5,2019,1,21,22:00
4,PPL343,22.2,2020,1,21,23:00
5,PPL344,21.7,2021,1,22,0:00
6,PPL345,21.3,2022,1,22,1:00
7,PPL346,20.9,2001,1,22,2:00
8,PPL347,20.6,2002,1,22,3:00
9,PPL348,19.9,2003,1,22,4:00
10,PPL349,19.8,2004,1,22,5:00
11,PPL350,20,2005,1,22,6:00
12,PPL351,20.2,2006,1,22,7:00
13,PPL352,19.8,2007,1,22,8:00
14,PPL353,19.5,2008,1,22,9:00
15,PPL354,21.8,2009,1,22,10:00
16,PPL355,23.9,2010,1,22,11:00
17,PPL356,25.4,2011,1,22,12:00
18,PPL357,25.3,2012,1,22,13:00
19,PPL358,25.2,2013,1,22,14:00
20,PPL359,26.1,2014,1,22,15:00
21,PPL360,26,2015,1,22,16:00
22,PPL361,26.3,2016,1,22,17:00
23,PPL362,27.3,2017,1,22,18:00
24,PPL363,26.9,2018,1,22,19:00
25,PPL364,26.8,2019,1,22,20:00
1,PPL340,25.6,2020,1,22,21:00
2,PPL341,24,2021,1,22,22:00
3,PPL342,22.8,2022,1,22,23:00
4,PPL343,22.1,2001,1,23,0:00
5,PPL344,21.3,2002,1,23,1:00
6,PPL345,20.9,2003,1,23,2:00
7,PPL346,20.6,2004,1,23,3:00
8,PPL347,19.9,2005,1,23,4:00
9,PPL348,19.5,2006,1,23,5:00
10,PPL349,19.6,2007,1,23,6:00
11,PPL350,19.8,2008,1,23,7:00
12,PPL351,19.7,2009,1,23,8:00
13,PPL352,19.9,2010,1,23,9:00
14,PPL353,21.5,2011,1,23,10:00
15,PPL354,23,2012,1,23,11:00
16,PPL355,25.2,2013,1,23,12:00
17,PPL356,25.5,2014,1,23,13:00
18,PPL357,25.6,2015,1,23,14:00
19,PPL358,26.5,2016,1,23,15:00
20,PPL359,26.4,2017,1,23,16:00
21,PPL360,27.7,2018,1,23,17:00
22,PPL361,27.2,2019,1,23,18:00
23,PPL362,28.4,2020,1,23,19:00
24,PPL363,27.3,2021,1,23,20:00
25,PPL364,26.5,2022,1,23,21:00
1,PPL340,25.4,2001,1,23,22:00
2,PPL341,24.1,2002,1,23,23:00
3,PPL342,23.5,2003,1,24,0:00
4,PPL343,23,2004,1,24,1:00
5,PPL344,22.7,2005,1,24,2:00
6,PPL345,22.7,2006,1,24,3:00
7,PPL346,22.5,2007,1,24,4:00
8,PPL347,22.3,2008,1,24,5:00
9,PPL348,22.1,2009,1,24,6:00
10,PPL349,21.9,2010,1,24,7:00
11,PPL350,21.7,2011,1,24,8:00
12,PPL351,21.8,2012,1,24,9:00
13,PPL352,22.9,2013,1,24,10:00
14,PPL353,23.5,2014,1,24,11:00
15,PPL354,25,2015,1,24,12:00
16,PPL355,27.3,2016,1,24,13:00
17,PPL356,28.9,2017,1,24,14:00
18,PPL357,28.9,2018,1,24,15:00
19,PPL358,29,2019,1,24,16:00
20,PPL359,29.9,2020,1,24,17:00
21,PPL360,29.8,2021,1,24,18:00
22,PPL361,28.9,2022,1,24,19:00
23,PPL362,27.7,2001,1,24,20:00
24,PPL363,26.8,2002,1,24,21:00
25,PPL364,25.4,2003,1,24,22:00
1,PPL340,24.4,2004,1,24,23:00
2,PPL341,23.8,2005,1,25,0:00
3,PPL342,23.4,2006,1,25,1:00
4,PPL343,23.3,2007,1,25,2:00
5,PPL344,23.2,2008,1,25,3:00
6,PPL345,22.7,2009,1,25,4:00
7,PPL346,22.4,2010,1,25,5:00
8,PPL347,22.1,2011,1,25,6:00
9,PPL348,21.9,2012,1,25,7:00
10,PPL349,21.8,2013,1,25,8:00
11,PPL350,21.7,2014,1,25,9:00
12,PPL351,23.7,2015,1,25,10:00
13,PPL352,25.3,2016,1,25,11:00
14,PPL353,27.3,2017,1,25,12:00
15,PPL354,28.1,2018,1,25,13:00
16,PPL355,28.2,2019,1,25,14:00
17,PPL356,30.5,2020,1,25,15:00
18,PPL357,30.3,2021,1,25,16:00
19,PPL358,30.7,2022,1,25,17:00
20,PPL359,29.2,2001,1,25,18:00
21,PPL360,30.7,2002,1,25,19:00
22,PPL361,29.1,2003,1,25,20:00
23,PPL362,28.6,2004,1,25,21:00
24,PPL363,26.7,2005,1,25,22:00
25,PPL364,25.5,2006,1,25,23:00
1,PPL340,24.5,2007,1,26,0:00
2,PPL341,23.9,2008,1,26,1:00
3,PPL342,23.6,2009,1,26,2:00
4,PPL343,23.4,2010,1,26,3:00
5,PPL344,23.4,2011,1,26,4:00
6,PPL345,23.5,2012,1,26,5:00
7,PPL346,23.6,2013,1,26,6:00
8,PPL347,23.5,2014,1,26,7:00
9,PPL348,23.1,2015,1,26,8:00
10,PPL349,23,2016,1,26,9:00
11,PPL350,23.5,2017,1,26,10:00
12,PPL351,26.3,2018,1,26,11:00
13,PPL352,25.7,2019,1,26,12:00
14,PPL353,28,2020,1,26,13:00
15,PPL354,28,2021,1,26,14:00
16,PPL355,29.1,2022,1,26,15:00
17,PPL356,29.4,2001,1,26,16:00
18,PPL357,27.7,2002,1,26,17:00
19,PPL358,26.7,2003,1,26,18:00
20,PPL359,27.6,2004,1,26,19:00
21,PPL360,27.8,2005,1,26,20:00
22,PPL361,26.8,2006,1,26,21:00
23,PPL362,25.8,2007,1,26,22:00
24,PPL363,25,2008,1,26,23:00
25,PPL364,24.1,2009,1,27,0:00
1,PPL340,23.7,2010,1,27,1:00
2,PPL341,23.3,2011,1,27,2:00
3,PPL342,23,2012,1,27,3:00
4,PPL343,23.3,2013,1,27,4:00
5,PPL344,23.2,2014,1,27,5:00
6,PPL345,23,2015,1,27,6:00
7,PPL346,23,2016,1,27,7:00
8,PPL347,22.8,2017,1,27,8:00
9,PPL348,22.9,2018,1,27,9:00
10,PPL349,23,2019,1,27,10:00
11,PPL350,23.4,2020,1,27,11:00
12,PPL351,24.9,2021,1,27,12:00
13,PPL352,25,2022,1,27,13:00
14,PPL353,21.1,2001,1,27,14:00
15,PPL354,22.8,2002,1,27,15:00
